success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,condition,rt,stimulus,response,question_order,accuracy,participant_id,ctime
TRUE,FALSE,[],[],[],preload,0,402,0.0-0.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole doesn't know that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",NA,NA,NA,NA,NA,af641ab8-38fa-469e-932c-390dddc9d1b4,2024-03-27 12:35:06 CET
NA,NA,NA,NA,NA,html-button-response,1,18232,0.0-1.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole doesn't know that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",17829,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and see an image. We will ask you two questions about what you have read. You will give your responses on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,NA,NA,af641ab8-38fa-469e-932c-390dddc9d1b4,2024-03-27 12:35:06 CET
NA,NA,NA,NA,NA,multiple-slider,2,74169,0.0-2.0-0.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole doesn't know that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",55934.60000002384,NA,"{""stimFIRST"":15,""stimSECOND"":23}","[0,1]",NA,af641ab8-38fa-469e-932c-390dddc9d1b4,2024-03-27 12:35:06 CET
NA,NA,NA,NA,NA,survey,3,105212,0.0-3.0,"{""contextPart1"":""Sue runs a language school. She's currently working through a list of her teachers — Kate, Tom, Charley, Tatiana, and Riccardo — to identify who speaks Spanish. She occasionally consults Cole, who knows some teachers better. Sue keeps track on this list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>CHARLEY</b> speaks Spanish. Sue says to her business partner:"",""utterance"":""Cole doesn't know that Charley speaks Spanish"",""questionFIRST"":""Given what you have read above, how likely is it that Charley speaks Spanish?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Charley speaks Spanish?"",""qud"":""ai"",""content"":""charley"",""image"":""charley-ai""}",30995,NA,"{""P0_Q0"":null,""age"":""35"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated college"",""comments"":""""}",NA,[],af641ab8-38fa-469e-932c-390dddc9d1b4,2024-03-27 12:35:06 CET
TRUE,FALSE,[],[],[],preload,0,409,0.0-0.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. She occasionally consults her assistant Cole, who knows some clients better. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Cole doesn't know that Jackson ran ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",NA,NA,NA,NA,NA,aa91f168-f38a-4728-ace5-deb6ac779da1,2024-03-27 12:40:05 CET
NA,NA,NA,NA,NA,html-button-response,1,1806,0.0-1.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. She occasionally consults her assistant Cole, who knows some clients better. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Cole doesn't know that Jackson ran ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",1395,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and see an image. We will ask you two questions about what you have read. You will give your responses on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,NA,NA,aa91f168-f38a-4728-ace5-deb6ac779da1,2024-03-27 12:40:05 CET
NA,NA,NA,NA,NA,multiple-slider,2,46129,0.0-2.0-0.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. She occasionally consults her assistant Cole, who knows some clients better. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Cole doesn't know that Jackson ran ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",44298.800000190735,NA,"{""stimFIRST"":50,""stimSECOND"":1}","[0,1]",NA,aa91f168-f38a-4728-ace5-deb6ac779da1,2024-03-27 12:40:05 CET
NA,NA,NA,NA,NA,survey,3,67725,0.0-3.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. She occasionally consults her assistant Cole, who knows some clients better. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Cole doesn't know that Jackson ran ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",21471,NA,"{""P0_Q0"":null,""age"":""31"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""some college"",""comments"":""""}",NA,[],aa91f168-f38a-4728-ace5-deb6ac779da1,2024-03-27 12:40:05 CET
TRUE,FALSE,[],[],[],preload,0,710,0.0-0.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Jackson didn't run ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",NA,NA,NA,NA,NA,b6c271c9-cb6c-4edd-a08f-b86391039acd,2024-03-27 12:58:59 CET
NA,NA,NA,NA,NA,html-button-response,1,2309,0.0-1.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Jackson didn't run ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",1597,"<h3>Instructions</h3>  <p style='text-align:left'>In this experiment, you will read a short text and see an image. We will ask you two questions about what you have read. You will give your responses on a slider. </p>  <p style='text-align:left'>At the end of the experiment, we will ask you some demographic questions. The experiment will take less than two minutes.</p>  <p style='text-align:left' font size=""1"">By clicking on the button below you agree to participate in the experiment, which is conducted by language researchers. You may withdraw at any time. The data collected will be anonymous and confidential. If you have any questions, you may contact the experimenters through Prolific's platform.</p>",0,NA,NA,b6c271c9-cb6c-4edd-a08f-b86391039acd,2024-03-27 12:58:59 CET
NA,NA,NA,NA,NA,multiple-slider,2,31419,0.0-2.0-0.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Jackson didn't run ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",29106,NA,"{""stimFIRST"":49,""stimSECOND"":31}","[0,1]",NA,b6c271c9-cb6c-4edd-a08f-b86391039acd,2024-03-27 12:58:59 CET
NA,NA,NA,NA,NA,survey,3,44787,0.0-3.0,"{""contextPart1"":""Sue runs a fitness club. She’s currently working through a list of her clients — Kate, Tom, Charley, Tatiana, and Riccardo —  to identify who ran ten miles over the weekend. Here is Sue's list:"",""contextPart2"":""Next up, she wants to record in the list whether <b>JACKSON</b> ran ten miles. Sue says to her business partner:"",""utterance"":""Jackson didn't run ten miles"",""questionFIRST"":""Given what you have read above, how likely is it that Jackson ran ten miles?"",""questionSECOND"":""Given what you have read above, how likely is it that Cole believes that Jackson ran ten miles?"",""qud"":""ai"",""content"":""jackson"",""image"":""jackson-ai""}",13268,NA,"{""P0_Q0"":null,""age"":""26"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""edu"":""graduated high school"",""comments"":""""}",NA,[],b6c271c9-cb6c-4edd-a08f-b86391039acd,2024-03-27 12:58:59 CET
